Направление,Куратор,ИД_Категории,Категория,ИД_Подкатегории,parrent_ID,Тип,период на принятие,Период на исполнение,Требуется акт
МКД,ГЖИ,39088,Многоквартирные дома,39170,3883,Незаконная перепланировка/переоборудование мест общего пользования,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39171,3883,Не соблюдение требований Стандарта раскрытия информации управляющими организациями,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39176,3883,Использование жилых помещений не по целевому назначению,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39177,3883,Использование нежилых помещений не по целевому назначению,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39178,3883,Использование мест общего пользования не по целевому назначению,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39179,3883,Перевод жилых помещений в нежилые,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39180,3883,Перевод нежилых помещений в жилые ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39181,3883,Признание жилых помещений непригодными для проживания,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39184,3883,Законность выдачи лицензий управляющим организациям,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39185,3883,Внесение многоквартирных домов в реестр лицензии управляющей организации,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39186,3883,Отсутствие в МКД ОДПУ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39187,3883,Неисправность в МКД ОДПУ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39188,3883,"Установка ИПУ в квартире, находящейся в собственности",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39189,3883,Установка ИПУ в муниципальной квартире,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39190,3883,"Неисправность, замена, проведение поверки ИПУ в квартирах, находящихся в собственности",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39191,3883,"Неисправность, замена, проведение поверки ИПУ в наемных квартирах",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39196,3883,Неудовлетворительное техническое состояние пандуса в подъезде,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39197,3883,Неудовлетворительное техническое состояние пандуса при входе в подъезд,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,39219,3883,Ненадлежащее содержание и эксплуатация МКД,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41162,3883,Авария на трубопроводе ХВС (в т.ч.течь стояков системы ХВС),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41163,3883,Деформации и повреждения ограждающих перил и поручней в подъезде,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41164,3883,"Заизолировать стояки, трубопроводы системы отопления",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41165,3883,Монтаж электрических проводов не соответствует нормативным требованиям,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41166,3883,Наледь и сосульки на козырьках балконов/лоджий,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41167,3883,Неисправно освещение подъезда/входной группы,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41168,3883,Не обеспечена защита этажных электрощитков от доступа посторонних лиц,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41169,3883,Не прогревается полотенцесушитель в квартире,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41170,3883,Не соблюдение требований к порядку размещения информации в ГИС ЖКХ ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41171,3883,Незаконное проживание людей в местах общего пользования (в т.ч.подвалы и чердаки),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41172,3883,Неисправность автомата защиты в вводно-распределительном устройстве дома / в этажных электрощитках,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41173,3883,Неисправность подъемной платформы для инвалидов,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41174,3883,Неисправность систем дымоудаления,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41175,3883,Неисправность систем пожарной сигнализации,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41176,3883,Неисправность систем пожаротушения (в т.ч.пожарный гидрант в МКД),24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41177,3883,"Ненадлежащая уборка лифтов  (нарушение периодичности уборки, наличие мусора и грязи)",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41178,3883,Ненадлежащее содержание паркинга в МКД,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41179,3883,"Непроведение мероприятий по ликвидации грызунов, насекомых в подъезде",24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41180,3883,Несвоевременная очистка кровли от мусора и козырьков над подъездами,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41181,3883,Отсутствие информации об УО на стендах в МОП,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41182,3883,Отсутствие/повреждение указателей с наименованием улицы и номером дома,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41183,3883,Повреждение крепления газопровода ,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41184,3883,Подмес горячей воды в холодную,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41185,3883,Предоставление электроснабжения в квартиру с перебоями,24,72,1
МКД,ГЖИ,39088,Многоквартирные дома,41186,3883,Проседание фундамента (в т.ч. наличие трещин),24,72,1
