edsAddressGUID,edsFIASAddressGUID,edsAddressType,edsOKTMO,edsAddressName,edsRegion,edsArea,edsCity,edsStreet,edsEstStatus,edsHouseNum,edsHouseType,edsOrgGUID,edsName,edsFullName,edsAddress,edsAddressJur,edsAddressDisp,edsTypeOrg
A9F237C0-BA54-11E7-8E30-FE5F11EEAB0E,017a7095-c755-46e6-9eac-e0ef32389d4a,8,46648101,"Раменский р-н, г. Раменское, ул. Тракторная, д.17","Московская обл","Раменский р-н","г. Раменское","ул. Тракторная",2,17,2
A9F4EA24-BA54-11E7-8E30-FE5F11EEAB0E,f07971d7-fb34-49c0-bf11-4126eb6c3b6d,8,46648476111,"Раменский р-н, д. Васильево, д.57","Московская обл","Раменский р-н",,,2,57,2
A9F5B378-BA54-11E7-8E30-FE5F11EEAB0E,d7e92ae6-8c8a-4a2e-a4c0-fdb9f4218aff,8,46648407116,"Раменский р-н, д. Вялки, ул. Осеченская, д.14","Московская обл","Раменский р-н",,"ул. Осеченская",2,14,2
A9F6E720-BA54-11E7-8E30-FE5F11EEAB0E,ba75da31-04b5-4ccc-926a-29a44fd12252,8,46648155051,"Раменский р-н, г. Раменское, рп. Ильинский, ул. Краснознаменная, д.59а","Московская обл","Раменский р-н","г. Раменское","ул. Краснознаменная",2,59а,2
A9FA8AA6-BA54-11E7-8E30-FE5F11EEAB0E,8e5771b7-8732-47f3-8408-0ba821d2d1d9,8,46648434126,"Раменский р-н, п. Денежниково, д.5","Московская обл","Раменский р-н",,,2,5,1,3777368E-BB06-11E7-9583-B5CD11EEAB0E,"АO ""Ульянинская УК""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЛЬЯНИНСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""","Московская область, Раменский район, с. Ульянино, здание детского сада № 75, литера 1Б, эт/пом 2/1","140167 ОБЛАСТЬ МОСКОВСКАЯ РАЙОН РАМЕНСКИЙ СЕЛО УЛЬЯНИНО д. ЗДАНИЕ ДЕТСКОГО САДА № 75 кор. ЛИТЕРА 1Б помещение ЭТ/ПОМ 2/I","с. Ульянино, административное здание, 1 этаж",2
A9FB18A4-BA54-11E7-8E30-FE5F11EEAB0E,88400ecc-2f53-4043-8e90-e5334b455fc5,8,46648157051,"Раменский р-н, г. Раменское, дп. Кратово, ул. Московская Б., д.7","Московская обл","Раменский р-н","г. Раменское","ул. Московская Б.",2,7,2
A9FBEFE0-BA54-11E7-8E30-FE5F11EEAB0E,94deb0c9-c1cf-4fe6-bece-2b9444db9696,8,46648434171,"Раменский р-н, д. Сельвачево, д.43","Московская обл","Раменский р-н",,,2,43,2
AA03116C-BA54-11E7-8E30-FE5F11EEAB0E,d1556a6f-4603-4cb9-b603-f90062309096,8,46648434101,"Раменский р-н, с. Константиново, д.22","Московская обл","Раменский р-н",,,2,22,2
AA03FE1A-BA54-11E7-8E30-FE5F11EEAB0E,99d579b1-159f-4440-a4ae-4e2790a94927,8,46648410111,"Раменский р-н, д. Вишняково, д.11","Московская обл","Раменский р-н",,,2,11,
AA0D8D86-BA54-11E7-8E30-FE5F11EEAB0E,f78d4a83-418b-4b6e-82b9-eef7a7ed8ed3,8,46648157051,"Раменский р-н, г. Раменское, дп. Кратово, ул. Садовая, д.1-а","Московская обл","Раменский р-н","г. Раменское","ул. Садовая",2,1-а,
